student_id,first_name,last_name,father_f_name,father_s_name,s_gender,s_mobile_1,s_mobile_2,s_age,student_dob,admission_date,class,s_house_no,s_street,s_area,s_pincode
231313,Naima,Ali,Ismail,Ali,f,9863343087,9838342837,12,07-09-2010,14-03-2020,7,1-3-595/25/40,Kukatpally Main Road,Kukatpally,500072
231314,Navya,Singhania,Venkat,Singhania,f,9862643080,9837642830,13,15-04-2009,15-08-2021,7,1-3-159/243/694,Srinagar Colony Road,Srinagar Colony,500073
231315,Nikhil,Bhatia,Suresh,Bhatia,m,9861843072,9836842822,12,21-11-2010,31-10-2018,7,1-3-573/36/73,Tolichowki Main Road,Tolichowki,500008
231316,Nisha,Joshi,Srinivas,Joshi,f,9860943063,9835942813,13,28-06-2009,15-02-2018,7,1-3-453/96/253,Marredpally Main Road,Marredpally,500026
231317,Omar,Ahmad,Khalid,Ahmad,m,9859743051,9834742801,12,04-01-2010,14-02-2021,7,1-3-605/20/25,Mehdipatnam Road,Mehdipatnam,500028
231318,Riya,Saxena,Mohan,Saxena,f,9857343027,9832342777,13,12-08-2009,17-10-2021,7,1-3-241/202/571,Dilsukhnagar Main Road,Dilsukhnagar,500036
231319,Rohan,Agrawal,Matthew,Agrawal,m,9855643010,9830642760,12,18-03-2010,03-08-2018,7,1-3-613/16/13,Abids Road,Abids,500001
231320,Siddharth,Desai,Krishna,Desai,m,9854442998,9829442748,13,24-10-2009,02-05-2021,7,1-3-517/64/157,Toli Chowki Main Road,Toli Chowki,500008
231321,Vihaan,Sharma,Sandeep,Sharma,m,9853042984,9828042734,12,29-05-2010,22-12-2019,7,1-3-187/229/652,Ameerpet Main Road,Ameerpet,500016
231322,Vikram,Malhotra,Raghav,Malhotra,m,9852242976,9827242726,13,06-12-2009,15-08-2021,7,1-3-371/137/376,Himayat Nagar Road,Himayat Nagar,500029
231404,Aanya,Bhatia,Venkatesh,Bhatia,f,9875843212,9850842962,14,20-11-2008,07-03-2020,8,1-3-571/37/76,Dilsukhnagar Main Road,Dilsukhnagar,500036
231403,Aarav,Patel,Vishnu,Patel,m,9874943203,9849942953,13,15-04-2009,08-12-2021,8,1-3-295/175/490,Necklace Road,Necklace Road,500063
231405,Aishwarya,Mehta,Suresh,Mehta,f,9873343187,9848342937,13,03-06-2009,01-01-2021,8,1-3-327/159/442,Nizampet Road,Nizampet,500090
231406,Arnav,Sharma,Saurav,Sharma,m,9871243166,9846242916,14,12-02-2008,03-08-2018,8,1-3-185/230/655,Mehdipatnam Road,Mehdipatnam,500028
231407,Avani,Sharma,Sandeep,Sharma,f,9869643150,9844642900,13,17-09-2009,25-01-2022,8,1-3-183/231/658,Kukatpally Main Road,Kukatpally,500072
231408,Devansh,Deshmukh,Sameer,Deshmukh,m,9868443138,9843442888,14,23-04-2008,28-05-2020,8,1-3-499/73/184,Ameerpet Main Road,Ameerpet,500016
231409,Esha,Verma,Sameer,Verma,f,9867843132,9842842882,13,06-12-2009,15-08-2021,8,1-3-129/258/739,Tarnaka Main Road,Tarnaka,500017
231410,Ishita,Rana,Ravi,Rana,f,9866643120,9841642870,14,20-03-2008,24-12-2019,8,1-3-273/186/523,Nampally Main Road,Nampally,500001
231411,Kabir,Hassan,Ramesh,Hassan,m,9865843112,9840842862,13,25-08-2009,09-04-2019,8,1-3-477/84/217,Srinagar Colony Road,Srinagar Colony,500073
231412,Kavya,Gupta,Raju,Gupta,f,9865143105,9840142855,14,02-02-2008,03-11-2020,8,1-3-485/80/205,Masab Tank Road,Masab Tank,500028
231413,Layla,Saxena,Raju,Saxena,f,9864743101,9839742851,13,07-09-2009,19-07-2021,8,1-3-239/203/574,Santosh Nagar Road,Santosh Nagar,500059
231414,Meera,Desai,Rajesh,Desai,f,9863843092,9838842842,14,15-04-2008,25-10-2018,8,1-3-515/65/160,Hafeezpet Main Road,Hafeezpet,500049
231415,Navya,Reddy,Deepak,Reddy,f,9862543079,9837542829,13,21-11-2009,17-10-2021,8,1-3-257/194/547,Lakdi ka Pul Road,Lakdi ka Pul,500004
231416,Nisha,Sharma,Krishna,Sharma,f,9860843062,9835842812,14,28-06-2008,03-08-2018,8,1-3-181/232/661,Kompally Main Road,Kompally,500014
231417,Olivia,Johnson,Michael,Johnson,f,9860043054,9835042804,13,04-01-2009,26-08-2020,8,1-3-465/90/235,Bowenpally Main Road,Bowenpally,500011
231418,Omar,Ahmad,Ibrahim,Ahmad,m,9859643050,9834642800,14,12-08-2008,02-05-2021,8,1-3-603/21/28,Raj Bhavan Road,Raj Bhavan Road,500082
231419,Priya,Sharma,Gopal,Sharma,f,9858943043,9833942793,13,18-03-2009,22-08-2022,8,1-3-179/233/664,Attapur Main Road,Attapur,500048
231420,Riya,Khanna,Deepak,Khanna,f,9857243026,9832242776,14,24-10-2008,05-01-2022,8,1-3-387/129/352,SR Nagar Road,SR Nagar,500038
231421,Riyaan,Chawla,Karan,Chawla,m,9856443018,9831442768,13,29-05-2009,02-08-2019,8,1-3-555/45/100,Nallakunta Main Road,Nallakunta,500044
231422,Rohan,Malhotra,Mohan,Malhotra,m,9855543009,9830542759,14,06-12-2008,21-11-2018,8,1-3-369/138/379,Basheer Bagh Road,Basheer Bagh,500029
231423,Samuel,Davis,Jakob,Davis,m,9855143005,9830142755,13,13-07-2009,25-12-2019,8,1-3-533/56/133,Shamshabad Main Road,Shamshabad,501218
231424,Siddharth,Patel,Raghav,Patel,m,9854342997,9829342747,14,20-02-2008,19-07-2021,8,1-3-293/176/493,Gachibowli Road,Gachibowli,500032
231401,Vihaan,Kapoor,Vinay,Kapoor,m,9852942983,9827942733,13,01-07-2009,14-03-2020,8,1-3-421/112/301,Alwal Main Road,Alwal,500010
231402,Vikram,Kapoor,Vivek,Kapoor,m,9852142975,9827142725,14,10-09-2008,17-10-2021,8,1-3-419/113/304,Gachibowli Road,Gachibowli,500032
231425,Yusuf,Hussain,Ismail,Hussain,m,9851842972,9826842722,13,25-09-2009,19-06-2022,8,1-3-471/87/226,Nizampet Main Road,Nizampet,500090
231502,Aanya,Kapoor,Vishnu,Kapoor,f,9875743211,9850742961,15,10-09-2007,18-05-2020,9,1-3-417/114/307,Attapur Main Road,Attapur,500048
231501,Aarav,Kapoor,Vivek,Kapoor,m,9874843202,9849842952,14,01-07-2008,25-01-2022,9,1-3-415/115/310,Hafeezpet Main Road,Hafeezpet,500049
231503,Aishwarya,Patel,Venkatesh,Patel,f,9873243186,9848242936,14,15-04-2008,23-02-2021,9,1-3-291/177/496,Jubilee Hills Road,Jubilee Hills,500033
231504,Ananya,Choudhury,Venkat,Choudhury,f,9872643180,9847642930,15,20-11-2007,19-06-2022,9,1-3-541/52/121,Dilsukhnagar Main Road,Dilsukhnagar,500060
231505,Arjun,Singhania,Sanjay,Singhania,m,9871843172,9846842922,14,03-06-2008,24-12-2019,9,1-3-157/244/697,Lakdi ka Pul Road,Lakdi ka Pul,500004
231506,Arnav,Bhatia,Srinivas,Bhatia,m,9871143165,9846142915,15,12-02-2007,21-11-2018,9,1-3-569/38/79,Khairatabad Road,Khairatabad,500004
231507,Aryan,Joshi,Sandeep ,Joshi,m,9870443158,9845442908,14,17-09-2008,26-08-2020,9,1-3-451/97/256,Nallakunta Main Road,Nallakunta,500044
231508,Benjamin,Clark,Jacob,Clark,m,9869443148,9844442898,15,23-04-2007,15-06-2022,9,1-3-537/54/127,Kompally Main Road,Kompally,500014
231509,Devansh,Sharma,Sahith,Sharma,m,9868343137,9843342887,14,06-12-2008,01-09-2020,9,1-3-177/234/667,Hitech City Road,Hitech City,500081
231510,Kavya,Rana,Ravi,Rana,f,9865043104,9840042854,15,20-03-2007,31-12-2020,9,1-3-271/187/526,Panjagutta Main Road,Panjagutta,500082
231511,Layla,Hassan,Ramesh,Hassan,f,9864643100,9839642850,14,25-08-2008,29-09-2021,9,1-3-475/85/220,Barkatpura Main Road,Barkatpura,500027
231512,Meera,Gupta,Ram,Gupta,f,9863743091,9838742841,15,02-02-2007,15-05-2019,9,1-3-483/81/208,Panjagutta Main Road,Panjagutta,500082
231513,Naima,Ali,Khalid,Ali,f,9863243086,9838242836,14,07-09-2008,28-05-2020,9,1-3-593/26/43,Nampally Main Road,Nampally,500001
231514,Navya,Saxena,Rajesh,Saxena,f,9862443078,9837442828,15,15-04-2007,05-01-2022,9,1-3-237/204/577,Nallakunta Main Road,Nallakunta,500044
231515,Nikhil,Agrawal,Raghav,Agrawal,m,9861743071,9836742821,14,21-11-2008,22-05-2019,9,1-3-611/17/16,Charminar Road,Charminar,500002
231516,Noah,Anderson,Jackob,Anderson,m,9860343057,9835342807,15,28-06-2007,25-12-2019,9,1-3-583/31/58,Lakdi ka Pul Road,Lakdi ka Pul,500004
231517,Priya,Reddy,Mohan,Reddy,f,9858843042,9833842792,14,04-01-2008,11-03-2018,9,1-3-255/195/550,Himayat Nagar Road,Himayat Nagar,500029
231518,Rishi,Mehta,Krishna,Mehta,m,9858043034,9833042784,15,12-08-2007,28-05-2020,9,1-3-325/160/445,Marredpally Main Road,Marredpally,500026
231519,Riya,Sharma,Sanjay,Sharma,f,9857143025,9832142775,14,18-03-2008,10-04-2022,9,1-3-175/235/670,Jubilee Hills Road,Jubilee Hills,500033
231520,Riyaan,Chawla,Kareem,Chawla,m,9856343017,9831342767,15,24-10-2007,12-11-2019,9,1-3-553/46/103,Malakpet Main Road,Malakpet,500036
231521,Rohan,Malhotra,Prasad,Malhotra,m,9855443008,9830442758,14,29-05-2008,09-04-2019,9,1-3-367/139/382,Lakdi ka Pul Road,Lakdi ka Pul,500004
231522,Siddharth,Patel,Gopal,Patel,m,9854242996,9829242746,15,06-12-2007,29-09-2021,9,1-3-289/178/499,Alwal Main Road,Alwal,500010
231523,Vihaan,Sharma,Deepak,Sharma,m,9852842982,9827842732,14,13-07-2008,28-05-2020,9,1-3-173/236/673,Dilsukhnagar Main Road,Dilsukhnagar,500060
231524,Vikram,Khanna,Raju,Khanna,m,9852042974,9827042724,15,20-02-2007,05-01-2022,9,1-3-385/130/355,Gachibowli Road,Gachibowli,500032
231525,Zaid,Malik,Abdullah,Malik,m,9851642970,9826642720,14,25-09-2008,01-04-2018,9,1-3-363/141/388,Somajiguda Main Road,Somajiguda,500082
231604,Aanya,Khanna,Raghav,Khanna,f,9876443219,9851442969,16,20-11-2006,15-02-2018,10,1-3-399/123/334,Mehdipatnam Road,Mehdipatnam,500028
231623,Aarav,Sharma,Deepak,Sharma,m,9875643210,9850642960,15,13-07-2007,26-08-2020,10,1-3-235/205/580,Tarnaka Main Road,Tarnaka,500017
231601,Aariz,Khan,Mustafa,Khan,m,9874743201,9849742951,15,01-07-2007,06-04-2022,10,1-3-413/116/313,Charminar Road,Charminar,500002
231616,Ahmed,Khan,Ishaq,Khan,m,9874643200,9849642950,16,28-06-2006,15-06-2022,10,1-3-411/117/316,Banjara Hills Road,Banjara Hills,500034
231624,Aishwarya,Patel,Venkat,Patel,f,9874043194,9849042944,16,20-02-2006,26-07-2019,10,1-3-323/161/448,Charminar Road,Charminar,500002
231609,Arjun,Singhania,Suresh,Singhania,m,9872543179,9847542929,15,06-12-2007,27-08-2022,10,1-3-171/237/676,Basheer Bagh Road,Basheer Bagh,500029
231620,Arnav,Bhatia,Sandeep,Bhatia,m,9871743171,9846742921,16,24-10-2006,25-03-2020,10,1-3-581/32/61,Barkatpura Main Road,Barkatpura,500027
231612,Aryan,Kapoor,Vivek,Kapoor,m,9871043164,9846042914,16,02-02-2006,09-04-2019,10,1-3-449/98/259,ECIL Main Road,ECIL,500062
231605,Esha,Kapoor,Vivek,Kapoor,f,9868243136,9843242886,15,03-06-2007,19-11-2020,10,1-3-447/99/262,Kompally Main Road,Kompally,500014
231602,Grace,Wilson,Robert,Wilson,f,9867543129,9842542879,16,10-09-2006,10-04-2022,10,1-3-127/259/742,Uppal Main Road,Uppal,500039
231613,Ishita,Deshmukh,Ravi,Deshmukh,f,9867343127,9842342877,15,07-09-2007,27-08-2022,10,1-3-513/66/163,Necklace Road,Necklace Road,500063
231621,Kabir,Joshi,Sandeep,Joshi,m,9866543119,9841542869,15,29-05-2007,25-03-2020,10,1-3-463/91/238,Kondapur Main Road,Kondapur,500084
231625,Kavya,Sharma,Sameer,Sharma,f,9865743111,9840742861,15,25-09-2007,30-06-2019,10,1-3-233/206/583,Jagathgiri Gutta Road,Jagathgiri Gutta,500055
231617,Lily,Roberts,Michael,Roberts,f,9864543099,9839542849,15,04-01-2007,08-12-2021,10,1-3-253/196/553,Bowenpally Main Road,Bowenpally,500011
231606,Meera,Verma,Ram,Verma,f,9864443098,9839442848,16,12-02-2006,25-01-2022,10,1-3-143/251/718,Marredpally Main Road,Marredpally,500026
231618,Nisha,Rana,Ramesh,Rana,f,9861643070,9836642820,16,12-08-2006,02-08-2019,10,1-3-285/180/505,Madhapur Road,Madhapur,500081
231610,Olivia,Johnson,Charles,Johnson,f,9860243056,9835242806,16,20-03-2006,07-03-2020,10,1-3-469/88/229,Somajiguda Main Road,Somajiguda,500082
231622,Priya,Gupta,Raju,Gupta,f,9859543049,9834542799,16,06-12-2006,19-07-2021,10,1-3-497/74/187,Madhapur Road,Madhapur,500081
231614,Rishi,Desai,Raju,Desai,m,9858743041,9833742791,16,15-04-2006,04-09-2018,10,1-3-531/57/136,Jagathgiri Gutta Road,Jagathgiri Gutta,500055
231607,Riya,Reddy,Raghav,Reddy,f,9857943033,9832942783,15,17-09-2007,01-09-2020,10,1-3-269/188/529,Srinagar Colony Road,Srinagar Colony,500073
231603,Riyaan,Mehta,Vishnu,Mehta,m,9857043024,9832042774,15,15-04-2007,19-06-2022,10,1-3-351/147/406,ECIL Main Road,ECIL,500062
231608,Rohan,Sharma,Mohan,Sharma,m,9856243016,9831242766,16,23-04-2006,24-12-2019,10,1-3-231/207/586,L.B. Nagar Main Road,L.B. Nagar,500074
231619,Siddharth,Chawla,Sameer,Chawla,m,9855043004,9830042754,15,18-03-2007,07-03-2020,10,1-3-567/39/82,Saidabad Main Road,Saidabad,500059
231611,Vihaan,Malhotra,Venkatesh,Malhotra,m,9853642990,9828642740,15,25-08-2007,11-03-2018,10,1-3-383/131/358,Nizampet Main Road,Nizampet,500090
231615,Vikram,Patel,Gopal,Patel,m,9852742981,9827742731,15,21-11-2007,01-09-2020,10,1-3-321/162/451,Vanasthalipuram Main Road,Vanasthalipuram,500070
